current: 2019-06-20 09:25:10, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:25:22, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:25:34, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:25:46, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:25:58, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:26:10, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:26:22, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:26:34, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:56:53, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:25:10, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:25:22, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:25:34, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:25:46, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:25:58, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:26:10, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:26:22, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:26:34, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
current: 2019-06-20 09:56:53, temp_close: 2256.0, temp_air: 2256.0, brightness: 2256.0
